tensor([1.], device='mps:0')

Training AlexNet version: AlexNet
[1,   200] loss: 2.300
[1,   400] loss: 2.302
[1,   600] loss: 2.299
[1,   800] loss: 2.302
[1,  1000] loss: 2.297
[1,  1200] loss: 2.297
[1,  1400] loss: 2.297
[1,  1600] loss: 2.294
[1,  1800] loss: 2.295
[1,  2000] loss: 2.295
[1,  2200] loss: 2.291
[1,  2400] loss: 2.290
[1,  2600] loss: 2.288
[1,  2800] loss: 2.286
[1,  3000] loss: 2.283
[1,  3200] loss: 2.283
[1,  3400] loss: 2.272
[1,  3600] loss: 2.270
[1,  3800] loss: 2.264
[1,  4000] loss: 2.258
[1,  4200] loss: 2.247
[1,  4400] loss: 2.242
[1,  4600] loss: 2.244
[1,  4800] loss: 2.248
[1,  5000] loss: 2.233
Epoch [1/20], Train Loss: 0.2849, Val Loss: 0.2912, Test Loss: 2.3302Training Acc: 0.1475, Val Acc: 0.0872, Test Acc: 0.0863, 
[2,   200] loss: 2.237
[2,   400] loss: 2.236
[2,   600] loss: 2.222
[2,   800] loss: 2.216
[2,  1000] loss: 2.213
[2,  1200] loss: 2.217
[2,  1400] loss: 2.200
[2,  1600] loss: 2.201
[2,  1800] loss: 2.196
[2,  2000] loss: 2.197
[2,  2200] loss: 2.201
[2,  2400] loss: 2.198
[2,  2600] loss: 2.200
[2,  2800] loss: 2.181
[2,  3000] loss: 2.187
[2,  3200] loss: 2.189
[2,  3400] loss: 2.189
[2,  3600] loss: 2.182
[2,  3800] loss: 2.180
[2,  4000] loss: 2.172
[2,  4200] loss: 2.187
[2,  4400] loss: 2.175
[2,  4600] loss: 2.181
[2,  4800] loss: 2.175
[2,  5000] loss: 2.180
Epoch [2/20], Train Loss: 0.2746, Val Loss: 0.2904, Test Loss: 2.3272Training Acc: 0.2588, Val Acc: 0.1079, Test Acc: 0.1031, 
[3,   200] loss: 2.168
[3,   400] loss: 2.173
[3,   600] loss: 2.169
[3,   800] loss: 2.142
[3,  1000] loss: 2.157
[3,  1200] loss: 2.174
[3,  1400] loss: 2.153
[3,  1600] loss: 2.146
[3,  1800] loss: 2.163
[3,  2000] loss: 2.153
[3,  2200] loss: 2.165
[3,  2400] loss: 2.134
[3,  2600] loss: 2.152
[3,  2800] loss: 2.126
[3,  3000] loss: 2.138
[3,  3200] loss: 2.126
[3,  3400] loss: 2.119
[3,  3600] loss: 2.137
[3,  3800] loss: 2.126
[3,  4000] loss: 2.128
[3,  4200] loss: 2.122
[3,  4400] loss: 2.119
[3,  4600] loss: 2.105
[3,  4800] loss: 2.129
[3,  5000] loss: 2.091
